Date,Open,High,Low,Close,Adj Close,Volume
2019-05-07,241.720001,242.740005,238.220001,240.179993,236.932434,1775200
2019-05-08,239.559998,243.050003,238.190002,241.339996,238.076736,1611900
2019-05-09,240.660004,244.059998,240.160004,243.470001,240.826599,1919300
2019-05-10,242.940002,248.550003,240.029999,247.020004,244.338043,2036500
2019-05-13,244.119995,244.929993,240.669998,241.919998,239.293396,1962800
2019-05-14,242.289993,245.089996,241.809998,242.729996,240.094604,1635100
2019-05-15,242.110001,245.399994,241.229996,244.669998,242.013550,1194800
2019-05-16,245.630005,249.729996,245.210007,247.440002,244.753494,1800600
2019-05-17,245.880005,250.050003,245.589996,248.350006,245.653595,1672000
2019-05-20,247.149994,249.940002,247.149994,248.899994,246.197617,1600500
2019-05-21,249.110001,250.830002,248.100006,249.929993,247.216431,1504200
2019-05-22,251.009995,251.009995,249.139999,249.509995,246.800995,1242300
2019-05-23,248.630005,249.919998,247.179993,248.529999,245.831635,1822800
2019-05-24,249.110001,249.559998,246.770004,247.300003,244.615005,1340200
2019-05-28,248.580002,250.199997,246.139999,246.309998,243.635742,3164100
2019-05-29,244.130005,244.770004,238.910004,240.690002,238.076752,2594900
2019-05-30,242.149994,243.580002,240.750000,241.539993,238.917511,2030300
2019-05-31,238.979996,240.660004,233.050003,239.580002,236.978821,4058100
2019-06-03,239.779999,241.539993,238.080002,241.070007,238.452652,2512500
2019-06-04,243.000000,245.820007,242.500000,245.610001,242.943359,1761500
2019-06-05,246.100006,248.759995,245.020004,247.960007,245.267838,1825500
2019-06-06,248.000000,251.940002,247.740005,251.210007,248.482529,1487800
2019-06-07,251.160004,256.600006,251.020004,256.010010,253.230438,2270200
2019-06-10,256.399994,258.829987,256.109985,256.850006,254.061295,1839500
2019-06-11,258.910004,259.619995,256.209991,257.109985,254.318451,1613500
2019-06-12,257.579987,258.750000,255.770004,257.230011,254.437210,1071700
2019-06-13,257.709991,259.869995,257.549988,259.709991,256.890228,1228500
2019-06-14,260.000000,261.200012,258.910004,260.149994,257.325470,1287800
2019-06-17,261.130005,262.250000,260.429993,261.429993,258.591614,1191900
2019-06-18,263.609985,264.200012,262.049988,262.739990,259.887329,2763200
2019-06-19,262.309998,264.100006,260.940002,263.660004,260.797424,1628400
2019-06-20,265.000000,267.790009,264.549988,267.350006,264.447296,1745100
2019-06-21,266.769989,268.940002,265.989990,266.130005,263.240570,2964000
2019-06-24,267.309998,267.970001,266.519989,266.769989,263.873596,1586100
2019-06-25,266.709991,267.079987,265.359985,266.359985,263.468079,1182400
2019-06-26,266.450012,266.820007,264.339996,264.410004,261.539215,1334400
2019-06-27,264.899994,266.480011,262.989990,265.579987,262.696503,1122900
2019-06-28,265.500000,266.390015,263.359985,264.260010,261.390869,1952500
2019-07-01,266.429993,267.000000,261.839996,263.549988,260.688538,1955800
2019-07-02,263.920013,265.570007,261.670013,265.470001,262.587738,1201300
2019-07-03,265.140015,269.160004,265.140015,269.140015,266.217896,986500
2019-07-05,268.200012,268.609985,266.269989,268.250000,265.337524,1081500
2019-07-08,268.329987,269.690002,267.350006,269.399994,266.475037,1236000
2019-07-09,269.359985,270.779999,268.489990,269.970001,267.038849,1400300
2019-07-10,270.049988,271.529999,269.339996,271.420013,268.473145,1257000
2019-07-11,272.329987,276.769989,271.809998,276.540009,273.537567,1985600
2019-07-12,276.500000,280.000000,276.010010,279.440002,276.406067,2046400
2019-07-15,279.940002,280.700012,278.899994,280.579987,277.533630,1568000
2019-07-16,281.000000,281.369995,279.779999,280.649994,277.602905,1379200
2019-07-17,281.049988,282.850006,280.220001,281.559998,278.503021,1716600
2019-07-18,282.200012,283.059998,279.190002,282.910004,279.838379,1696100
2019-07-19,283.070007,284.309998,281.350006,281.510010,278.453583,1607600
2019-07-22,281.220001,282.320007,279.320007,280.170013,277.128113,1459100
2019-07-23,281.850006,282.079987,279.019989,280.100006,277.058868,1117800
2019-07-24,279.829987,281.239990,279.010010,280.829987,277.780914,1257100
2019-07-25,281.200012,281.940002,279.339996,279.799988,276.762085,1600200
2019-07-26,279.799988,281.769989,279.119995,281.369995,278.315063,1447700
2019-07-29,281.010010,281.299988,279.540009,280.130005,277.088531,1257400
2019-07-30,280.269989,280.570007,279.100006,279.500000,276.465393,978200
2019-07-31,279.019989,279.720001,272.630005,275.630005,272.637421,1886900
2019-08-01,275.750000,280.929993,274.309998,274.570007,271.588959,2634300
2019-08-02,274.299988,274.940002,270.500000,272.500000,269.541412,1969200
2019-08-05,270.089996,270.549988,262.709991,265.100006,262.221771,3329800
2019-08-06,266.470001,270.230011,264.049988,269.309998,266.386017,2383000
2019-08-07,268.179993,274.859985,263.589996,274.299988,271.321869,3037500
2019-08-08,273.040009,274.839996,271.000000,274.799988,271.816437,2046700
2019-08-09,274.579987,275.470001,271.910004,273.940002,270.965759,1284300
2019-08-12,274.029999,274.980011,269.299988,271.309998,268.364319,1637300
2019-08-13,271.179993,278.160004,270.010010,276.260010,273.260559,1724600
2019-08-14,274.000000,275.359985,268.000000,268.149994,265.238617,2122100
2019-08-15,270.529999,272.970001,268.769989,271.519989,268.572021,1623200
2019-08-16,274.100006,276.070007,273.440002,274.100006,271.124054,1230800
2019-08-19,276.410004,277.380005,274.549988,275.609985,272.617615,1313400
2019-08-20,276.279999,276.359985,272.850006,272.970001,270.006287,1390600
2019-08-21,275.410004,276.540009,274.700012,275.679993,272.686859,1682300
2019-08-22,277.010010,280.989990,276.869995,279.920013,276.880859,2345500
2019-08-23,278.209991,280.130005,272.700012,274.010010,271.035004,1984300
2019-08-26,275.750000,278.529999,275.690002,278.459991,275.436676,1426400
2019-08-27,281.000000,293.440002,280.339996,292.380005,289.205566,5169000
2019-08-28,293.750000,299.950012,292.420013,294.489990,291.292633,5162100
2019-08-29,297.480011,297.730011,292.760010,296.570007,293.998993,2613100
2019-08-30,298.000000,298.279999,292.829987,294.760010,292.204681,1801000
2019-09-03,292.570007,294.000000,290.459991,292.049988,289.518158,1842900
2019-09-04,294.000000,296.299988,293.769989,296.119995,293.552856,1375700
2019-09-05,298.429993,299.709991,296.679993,296.970001,294.395477,1865300
2019-09-06,299.200012,304.640015,298.290009,303.760010,301.126617,3018100
2019-09-09,304.500000,307.339996,298.209991,299.000000,296.407959,3397200
2019-09-10,297.380005,298.250000,294.579987,297.000000,294.425232,2725000
2019-09-11,294.299988,295.739990,287.809998,290.690002,288.169922,4754700
2019-09-12,290.339996,292.750000,288.679993,289.890015,287.376923,2942600
2019-09-13,290.200012,294.070007,289.850006,291.899994,289.369476,2306300
2019-09-16,290.570007,291.380005,288.339996,288.690002,286.187286,1508900
2019-09-17,289.559998,291.790009,288.690002,291.410004,288.883728,1758900
2019-09-18,290.700012,293.570007,288.799988,292.429993,289.894836,1666000
2019-09-19,289.489990,289.760010,284.709991,287.829987,285.334747,3004700
2019-09-20,288.750000,289.410004,286.140015,286.359985,283.877502,3409500
2019-09-23,286.359985,288.130005,285.750000,287.570007,285.077026,2025400
2019-09-24,289.299988,292.619995,286.399994,287.910004,285.414063,2483200
2019-09-25,288.260010,289.679993,286.869995,288.510010,286.008881,1827800
2019-09-26,289.429993,289.809998,286.600006,288.260010,285.761017,1877300
2019-09-27,289.529999,289.529999,284.399994,285.950012,283.471039,1538100
2019-09-30,287.700012,288.619995,286.570007,288.109985,285.612305,2151500
2019-10-01,288.040009,288.679993,283.179993,283.929993,281.468536,2648900
2019-10-02,283.230011,285.790009,282.220001,285.109985,282.638306,2480600
2019-10-03,285.390015,290.859985,281.600006,289.000000,286.494598,3590200
2019-10-04,287.850006,291.950012,283.320007,291.670013,289.141479,4513300
2019-10-07,291.040009,295.690002,290.500000,293.410004,290.866394,1988700
2019-10-08,292.950012,295.579987,290.450012,291.890015,289.359589,2201100
2019-10-09,293.109985,298.570007,293.109985,296.899994,294.326111,2235500
2019-10-10,298.630005,299.480011,296.260010,297.140015,294.564056,1637500
2019-10-11,298.070007,300.760010,297.359985,297.600006,295.020081,1855500
2019-10-14,298.000000,300.339996,297.500000,297.519989,294.940735,1297600
2019-10-15,298.320007,299.640015,297.230011,298.390015,295.803223,1580700
2019-10-16,296.799988,298.970001,295.079987,298.779999,296.189819,1811100
2019-10-17,298.850006,302.609985,298.850006,302.399994,299.778412,1734600
2019-10-18,302.000000,304.000000,300.980011,302.859985,300.234436,1853900
2019-10-21,303.000000,303.510010,300.170013,301.079987,298.469879,1322900
2019-10-22,301.609985,304.880005,299.950012,299.970001,297.369507,1955600
2019-10-23,299.579987,300.049988,297.179993,297.320007,294.742432,1798700
2019-10-24,295.049988,298.279999,294.559998,297.049988,294.474792,2056700
2019-10-25,295.519989,297.250000,295.109985,296.500000,293.929565,1685900
2019-10-28,295.700012,299.089996,295.209991,298.940002,296.348450,1672600
2019-10-29,298.209991,298.940002,295.809998,295.859985,293.295135,1295300
2019-10-30,296.920013,300.250000,295.970001,299.839996,297.240631,1264000
2019-10-31,298.359985,299.619995,294.549988,297.109985,295.174164,2277400
2019-11-01,297.989990,298.420013,295.500000,296.089996,294.160828,1364300
2019-11-04,297.160004,298.220001,295.170013,296.820007,294.886108,1651600
2019-11-05,297.089996,299.690002,295.809998,299.179993,297.230682,2204500
2019-11-06,299.970001,301.649994,297.929993,301.570007,299.605103,1675000
2019-11-07,303.929993,307.100006,302.480011,305.209991,303.221405,2399400
2019-11-08,302.739990,304.290009,301.279999,302.619995,300.648254,1501600
2019-11-11,301.549988,302.329987,299.700012,300.839996,298.879883,1160900
2019-11-12,300.829987,302.730011,298.660004,300.500000,298.542084,1540800
2019-11-13,300.179993,304.000000,299.519989,302.899994,300.926453,1517900
2019-11-14,304.390015,305.890015,302.269989,304.589996,302.605438,1336400
2019-11-15,305.309998,305.440002,301.600006,303.660004,301.681519,1706100
2019-11-18,303.109985,306.380005,302.750000,304.540009,302.555786,1241300
2019-11-19,304.500000,304.640015,301.450012,302.239990,300.270752,1761400
